Name,Stream,Bin Number,Stream Character,Zone,geometry
2104FL,Landfill,104,L,2,"c(-118.44367439307, 34.0712498499765, 0)"
2107FR,Recycle,107,R,2,"c(-118.443675572597, 34.0712758946756, 0)"
2108FR,Recycle,108,R,2,"c(-118.444502453255, 34.0715316682078, 0)"
2109FL,Landfill,109,L,2,"c(-118.444503158375, 34.0715432072348, 0)"
2110FL,Landfill,110,L,2,"c(-118.443670426142, 34.0715518032176, 0)"
2111FR,Recycle,111,R,2,"c(-118.443674170032, 34.0715534772219, 0)"
2115FR,Recycle,115,R,2,"c(-118.444663745494, 34.0717672419974, 0)"
2116FL,Landfill,116,L,2,"c(-118.444672514396, 34.071767508248, 0)"
2117AC,Compost,117,C,2,"c(-118.443686838875, 34.0718636389466, 0)"
2118AS,Landfill,118,S,2,"c(-118.443686838875, 34.0718636389466, 0)"
2119DR,Recycle,119,R,2,"c(-118.44450608574, 34.071863914415, 0)"
2120AR,Recycle,120,R,2,"c(-118.443677414587, 34.0718665200732, 0)"
2121DL,Landfill,121,L,2,"c(-118.444501918938, 34.0718724627262, 0)"
2122DC,Compost,122,C,2,"c(-118.44450130956, 34.0718750300403, 0)"
2123FR,Recycle,123,R,2,"c(-118.444247703853, 34.0718823538725, 0)"
2124FL,Landfill,124,L,2,"c(-118.444254075414, 34.0718825830816, 0)"
2125FR,Recycle,125,R,2,"c(-118.443003490415, 34.0721750532272, 0)"
2126FL,Landfill,126,L,2,"c(-118.443004512361, 34.0722197182889, 0)"
2127FR,Recycle,127,R,2,"c(-118.444024646433, 34.0724888892619, 0)"
2128FL,Landfill,128,L,2,"c(-118.44401705301, 34.0724904311717, 0)"
2129FR,Recycle,129,R,2,"c(-118.444929736576, 34.072608320297, 0)"
2130FL,Landfill,130,L,2,"c(-118.444935167589, 34.0726118017625, 0)"
2131FR,Recycle,131,R,2,"c(-118.443544754098, 34.0727392940433, 0)"
2132FL,Landfill,132,L,2,"c(-118.443545008523, 34.0727521510185, 0)"
2133AC,Compost,133,C,2,"c(-118.443666275771, 34.0728817675211, 0)"
2134AR,Recycle,134,R,2,"c(-118.443666275771, 34.0728817675211, 0)"
2135AS,Landfill,135,S,2,"c(-118.443661181395, 34.0728856848376, 0)"
